time,I0.NM0:region,I0.NM0:id,I0.NM0:vgs,I0.NM0:vds,I0.NM0:vth,I0.NM0:vdsat,I0.NM0:gm,I0.NM0:gds,I0.NM0:gmoverid,I0.NM0:self_gain,I0.NM0:rout,I0.NM0:sat_margin_abs
3.544000000000031e-08,2.0,9.715476412139329e-05,0.7105493479781948,0.5645564159299243,0.5058614628792761,0.1734146118716417,0.0005283879005754078,5.097203826608851e-05,5.438620574643055,10.36623055599764,19618.59941287253,0.39114180405828264
3.546000000000031e-08,2.0,9.736589450551446e-05,0.7109836079843208,0.5642357403820782,0.5058661579906532,0.1736132017977056,0.0005287608599380927,5.10952171843913e-05,5.430657840759721,10.34853923861234,19571.30344296653,0.3906225385843727
3.548000000000032e-08,2.0,9.75789407125556e-05,0.7114242209494012,0.5638848226030957,0.505871252640154,0.1738145785809947,0.0005291318334929674,5.122197611740231e-05,5.42260274696552,10.3301721956252,19522.87037321578,0.390070244022101
3.550000000000032e-08,2.0,9.779344777916683e-05,0.7118702588786435,0.5635043862006879,0.5058767363741488,0.1740183182430455,0.000529499957896288,5.135207791724733e-05,5.414472731670182,10.31116907770635,19473.40868292568,0.3894860679576424
3.552000000000032e-08,2.0,9.800895665665941e-05,0.7123207823514945,0.5630952188162537,0.5058825978854278,0.1742239917752561,0.0005298643829573022,5.148527795798956e-05,5.406285297288881,10.29157079407545,19423.02809000992,0.3888712270409976
3.554000000000032e-08,2.0,9.822500523278033e-05,0.7127748425001957,0.5626581705919304,0.5058888250579846,0.174431166039258,0.0005302242740166832,5.162132441954406e-05,5.398057970632708,10.27141941782373,19371.8392785249,0.38822700455267234
3.556000000000033e-08,2.0,9.844112938757874e-05,0.7132314830082362,0.5621941524887162,0.5058954049673545,0.174639404685916,0.0005305788142749899,5.17599585883431e-05,5.389808263557571,10.25075809072386,19319.95363352572,0.3875547478028002
3.558000000000033e-08,2.0,9.865686404361713e-05,0.7136897421244944,0.5617041344569769,0.5059023239292092,0.1748482690723657,0.0005309272069660969,5.190091517844477e-05,5.381553635024467,10.22963092540223,19267.48298294584,0.38685586538461114
3.560000000000033e-08,2.0,9.887174424432145e-05,0.714148654688825,0.56118914346339,0.5059095675035525,0.1750573191936366,0.0005312686774629368,5.204392267142264e-05,5.373311453606179,10.2080829075295,19214.53934810915,0.3861318242697534
3.562000000000033e-08,2.0,9.908530622055663e-05,0.7146072541648264,0.5606502613766281,0.5059171205469857,0.1752661146083017,0.0005316024752127472,5.218870367868827e-05,5.365098961566264,10.18615979591445,19161.23470237409,0.38538414676832644
3.564000000000034e-08,2.0,9.929708847897562e-05,0.7150645746755065,0.5600886227168433,0.5059249672205923,0.1754742153746023,0.0005319278755903573,5.233497532445481e-05,5.356933239534117,10.16390802312657,19107.68073932243,0.38461440734224106
3.566000000000034e-08,2.0,9.950663287213234e-05,0.7155196530375592,0.5595054122722398,0.5059330910456661,0.1756811829765708,0.0005322441815691016,5.248244965290674e-05,5.348831172874437,10.14137459453788,19053.98864979648,0.38382422929566906
3.568000000000034e-08,2.0,9.971348568370412e-05,0.7159715307899689,0.5589018625887935,0.5059414749150655,0.175886581256482,0.0005325507252991484,5.263083405759108e-05,5.340809418764461,10.11860698837505,19000.26890901547,0.3830152813323115
