VIN_BIAS,I0.NM0:region,I0.NM0:id,I0.NM0:vgs,I0.NM0:vds,I0.NM0:vth,I0.NM0:vdsat,I0.NM0:gm,I0.NM0:gds,I0.NM0:gmoverid,I0.NM0:self_gain,I0.NM0:rout,I0.NM0:sat_margin_abs
0.5840000000000004,2.0,4.701107064925757e-05,0.5840000000000004,0.8367379950028746,0.5022828080367605,0.1179951992858004,0.0003929902372601635,2.000622294245824e-05,8.35952596025882,19.64339987565265,49984.44748297532,0.7187427957170742
0.5850000000000004,2.0,4.736291571850645e-05,0.5850000000000004,0.8347676626372296,0.5023080205706681,0.1184111665544648,0.0003945291123805995,2.016535927842242e-05,8.329916648503419,19.5646954231437,49589.99173746595,0.7163564960827647
0.5860000000000004,2.0,4.771584259032159e-05,0.5860000000000004,0.8327912721772819,0.5023333202247745,0.1188276639900088,0.0003960625491045224,2.032548232290062e-05,8.300441843368192,19.48600986744018,49199.32447916895,0.7139636081872731
0.5870000000000004,2.0,4.806984286680495e-05,0.5870000000000004,0.8308088706512576,0.5023587064888665,0.119244686610927,0.0003975904717360452,2.048659857316041e-05,8.271100442469614,19.40734428490879,48812.39784285639,0.7115641840403306
0.5880000000000004,2.0,4.842490807666713e-05,0.5880000000000004,0.8288205054983804,0.5023841788468756,0.1196622294466658,0.0003991128051564255,2.064871459721601e-05,8.24189136187702,19.32869977341042,48429.16469651948,0.7091582760517146
0.5890000000000004,2.0,4.87810296759729e-05,0.5890000000000004,0.8268262245646851,0.5024097367769208,0.1200802875379036,0.0004006294748367808,2.081183703506801e-05,8.212813535825793,19.25007745167902,48049.57862753764,0.7067459370267816
0.5900000000000004,2.0,4.913819904890033e-05,0.5900000000000004,0.8248260760987741,0.502435379751339,0.1204988559368316,0.0004021404068504396,2.097597259997038e-05,8.18386591642924,19.1714784586917,47673.59392915168,0.7043272201619425
0.5910000000000004,2.0,4.949640750850551e-05,0.5910000000000004,0.8228201087475335,0.5024611072367288,0.1209179297074369,0.000403645527884896,2.114112807972342e-05,8.15504747339013,19.09290395303148,47301.1655872378,0.7019021790400967
0.5920000000000004,2.0,4.98556462975008e-05,0.5920000000000004,0.820808371551773,0.5024869186939839,0.1213375039257917,0.0004051447652533972,2.130731033799591e-05,8.126357193711323,19.0143551122419,46932.24926736842,0.6994708676259813
0.5930000000000004,2.0,5.021590658903831e-05,0.5930000000000004,0.8187909139418411,0.5025128135783352,0.1217575736803381,0.0004066380469061359,2.147452631567457e-05,8.097794081406564,18.935833132176,46566.8013021589,0.697033340261503
0.5940000000000004,2.0,5.05771794875038e-05,0.5940000000000004,0.816767785733175,0.5025387913393895,0.1221781340721826,0.0004081253014410603,2.16427830322434e-05,8.069357157210966,18.85733922633866,46204.77867888805,0.6945896516609924
0.5950000000000004,2.0,5.09394560293179e-05,0.5950000000000004,0.8147390371218198,0.5025648514211701,0.1225991802153858,0.0004096064581142991,2.18120875871929e-05,8.041045458291856,18.77887462522395,45846.13902738754,0.6921398569064341
0.5960000000000004,2.0,5.130272718374522e-05,0.5960000000000004,0.8127047186798947,0.5025909932621567,0.1230207072372557,0.0004110814468501993,2.198244716146007e-05,8.012858037959946,18.70044057564769,45490.84060819279,0.689684011442639
0.5970000000000004,2.0,5.166698385370879e-05,0.5970000000000004,0.8106648813510291,0.5026172162953294,0.1234427102786439,0.0004125501982509686,2.215386901889948e-05,7.984793965381263,18.62203834007603,45138.84230094976,0.6872221710723851
0.5980000000000004,2.0,5.20322168766135e-05,0.5980000000000004,0.8086195764457532,0.5026435199482098,0.1238651844942371,0.0004140126436059386,2.232636050778753e-05,7.956852325289666,18.54366919595019,44790.10359306863,0.6847543919515161
0.5990000000000004,2.0,5.239841702517453e-05,0.5990000000000004,0.8065688556368629,0.5026699036429034,0.1242881250528552,0.0004154687149004367,2.249992906235935e-05,7.929032217700483,18.46533443500868,44444.58456862085,0.6822807305840076
0.6000000000000004,2.0,5.27655750082515e-05,0.6000000000000004,0.8045127709547474,0.5026963667961417,0.1247115271377467,0.0004169183448242682,2.267458220437975e-05,7.901332757625256,18.38703536260693,44102.24589747208,0.6798012438170007
0.6010000000000004,2.0,5.31336814716866e-05,0.6010000000000004,0.8024513747826817,0.5027229088193312,0.1251353859468798,0.0004183614667798055,2.285032754474925e-05,7.873753074787895,18.30877329703487,43763.04882464535,0.6773159888358019
0.6020000000000004,2.0,5.350272699915121e-05,0.6020000000000004,0.8003847198521125,0.5027495291185905,0.1255596966932423,0.0004197980148897053,2.302717278514602e-05,7.84629231334204,18.2305495688338,43426.95515990844,0.6748250231588702
0.6030000000000004,2.0,5.387270211299353e-05,0.6030000000000004,0.7983128592378839,0.5027762270947999,0.1259844546051321,0.0004212279240042253,2.320512571970484e-05,7.818949631590282,18.15236552011161,43093.92726757955,0.6723284046327518
0.6040000000000004,2.0,5.424359727509055e-05,0.6040000000000004,0.7962358463534893,0.5028030021436444,0.1264096549264511,0.0004226511297081578,2.338419423673257e-05,7.791724201705097,18.07422250385883,42763.92805654903,0.6698261914270383
0.6050000000000004,2.0,5.461540288770573e-05,0.6050000000000004,0.7941537349462507,0.5028298536556608,0.1268352929169978,0.0004240675683273873,2.356438632046431e-05,7.764615209451508,17.99612188326369,42436.9209705053,0.667318442029253
0.6060000000000004,2.0,5.498810929434724e-05,0.6060000000000004,0.7920665790925232,0.5028567810162825,0.1272613638527574,0.0004254771769350556,2.374571005285738e-05,7.737621853911912,17.91806503102891,42112.86997836763,0.6648052152397658
0.6070000000000004,2.0,5.536170678063011e-05,0.6070000000000004,0.7899744331928537,0.5028837836058861,0.1276878630261896,0.0004268798933573513,2.392817361542745e-05,7.710743347212953,17.84005332868886,41791.73956491439,0.662286570166664
0.6080000000000004,2.0,5.573618557514216e-05,0.6080000000000004,0.7878773519671605,0.502910860799836,0.1281147857465179,0.000428275656178926,2.411178529112576e-05,7.683978914254513,17.76208816592901,41473.49472160594,0.6597625662206426
0.6090000000000004,2.0,5.611153585030789e-05,0.6090000000000004,0.785775390449861,0.5029380119685347,0.128542127340014,0.0004296644047479173,2.429655346625934e-05,7.657327792441267,17.68417093990688,41158.10093759601,0.657233263109847
0.6100000000000004,2.0,5.648774772325805e-05,0.6100000000000004,0.7836686039850247,0.5029652364774659,0.1289698831502798,0.0004310460791806159,2.448248663245583e-05,7.630789231416403,17.6063030545757,40845.52419092613,0.6546987208347449
0.6110000000000004,2.0,5.686481125669639e-05,0.6110000000000004,0.7815570482215074,0.5029925336872461,0.1293980485385293,0.0004324206203657425,2.46695933886724e-05,7.604362492798062,17.52848592001108,40535.73093990162,0.6521589996829781
0.6120000000000004,2.0,5.724271645977054e-05,0.6120000000000004,0.779440779108081,0.503019902953668,0.1298266188838669,0.0004337879699683703,2.485788244325229e-05,7.578046849918169,17.45072095174071,40228.68811464074,0.649614160224214
0.6130000000000004,2.0,5.762145328894082e-05,0.6130000000000004,0.7773198528885705,0.5030473436277495,0.1302555895835615,0.000435148070433471,2.504736261602803e-05,7.551841587564058,17.37300957007808,39924.36310879658,0.647064263305009
0.6140000000000004,2.0,5.800101164884918e-05,0.6140000000000004,0.775194326096978,0.5030748550557828,0.1306849560533209,0.000436500864989096,2.5238042840474e-05,7.5257460017228,17.29535319945982,39622.72377144514,0.6445093700436572
0.6150000000000004,2.0,5.838138139318815e-05,0.6150000000000004,0.7730642555526241,0.5031024365793798,0.1311147137275602,0.0004378462976492014,2.542993216590875e-05,7.499759399328312,17.21775326778796,39323.7383991372,0.6419495418250639
0.6160000000000004,2.0,5.876255232556779e-05,0.6160000000000004,0.7709296983552928,0.5031300875355231,0.1315448580596681,0.0004391843132161047,2.562303975974883e-05,7.473881098011331,17.14021120577654,39027.37572810926,0.6393848402956247
